dataset,level,element
Unmanned Maritime System,4,Mission Control
Unmanned Maritime System,4,Navigation
Unmanned Maritime System,4,Guidance and Control
Unmanned Maritime System,4,Health Status Monitoring
Unmanned Maritime System,4,Rendezvous
Unmanned Maritime System,4,Fire Control
Unmanned Maritime System,4,Vehicle Command and Control Software Release 1...n (Specify)
Unmanned Maritime System,4,Other Vehicle Command and Control 1...n (Specify)
Unmanned Maritime System,3,Surveillance
Unmanned Maritime System,3,Communications/Identification
Unmanned Maritime System,3,Ship Control System
Unmanned Maritime System,4,Ship Control System Integration
Unmanned Maritime System,4,Steering and Dive Control
Unmanned Maritime System,4,Hovering and Depth Control
Unmanned Maritime System,4,Ballast and Trim
Unmanned Maritime System,4,Maneuvering System
Unmanned Maritime System,4,Ship Control Systems Software Release 1...n (Specify)
Unmanned Maritime System,4,Other Ship Control Systems 1...n (Specify)
Unmanned Maritime System,3,Auxiliary Systems
Unmanned Maritime System,4,Auxiliary Equipment Integration
Unmanned Maritime System,4,Emergency Systems
Unmanned Maritime System,4,Launch and Recovery System
Unmanned Maritime System,4,Environmental Control System
Unmanned Maritime System,4,Anchoring
Unmanned Maritime System,4,Miscellaneous Fluid Systems
Unmanned Maritime System,4,Auxiliary Systems Software Release 1...n (Specify)
Unmanned Maritime System,4,Other Auxiliary Systems 1...n (Specify)
Unmanned Maritime System,3,Vehicle Software Release 1...n (Specify)
Unmanned Maritime System,2,Payload 1...n (Specify)
Unmanned Maritime System,3,Payload Integration
Unmanned Maritime System,3,Survivability Payload 1...n (Specify)
Unmanned Maritime System,3,Intelligence
Unmanned Maritime System,3,Armament/Weapons Delivery Payload 1...n (Specify)
Unmanned Maritime System,3,Mission Payload 1...n (Specify)
Unmanned Maritime System,3,Payload Software Release 1...n (Specify)
Unmanned Maritime System,3,Other Payload 1...n (Specify)
Unmanned Maritime System,2,Shipboard Segment
Unmanned Maritime System,3,Shipboard Segment Integration
Unmanned Maritime System,3,Unmanned Maritime System Command and Control Subsystem
Unmanned Maritime System,4,Unmanned Maritime System Control Console(s)
Unmanned Maritime System,4,Payload Control Console(s)
Unmanned Maritime System,3,Communication Subsystem
Unmanned Maritime System,3,Power Subsystem
Unmanned Maritime System,3,Launch and Recovery Equipment
Unmanned Maritime System,3,Storage Subsystems
Unmanned Maritime System,3,Vehicle Handling Equipment
Unmanned Maritime System,3,Auxiliary Equipment
Unmanned Maritime System,3,Shipboard Software Release 1...n (Specify)
Unmanned Maritime System,3,Other Shipboard Subsystems 1...n (Specify)
Unmanned Maritime System,2,Shore Segment
Unmanned Maritime System,2,Transportation Segment/Vehicles
Unmanned Maritime System,2,UM System Software Release 1...n (Specify)
Unmanned Maritime System,2,Systems Engineering
Unmanned Maritime System,3,Software Systems Engineering
Unmanned Maritime System,3,Integrated Logistics Support (ILS) Systems Engineering
Unmanned Maritime System,3,Cybersecurity Systems Engineering
Unmanned Maritime System,3,Core Systems Engineering
Unmanned Maritime System,3,Other Systems Engineering 1...n (Specify)
Unmanned Maritime System,2,Program Management
Unmanned Maritime System,3,Software Program Management
Unmanned Maritime System,3,Integrated Logistics Support (ILS) Program Management
Unmanned Maritime System,3,Cybersecurity Management
Unmanned Maritime System,3,Core Program Management
Unmanned Maritime System,3,Other Program Management 1...n (Specify)
Unmanned Maritime System,2,System Test and Evaluation
Unmanned Maritime System,3,Developmental Test and Evaluation
Unmanned Maritime System,4,Cybersecurity Test and Evaluation
Unmanned Maritime System,4,Other DT&E Tests 1…n (Specify)
Unmanned Maritime System,3,Operational Test and Evaluation
Unmanned Maritime System,4,Cybersecurity Test and Evaluation
Unmanned Maritime System,4,Other OT&E Tests 1…n (Specify)
Unmanned Maritime System,3,Live Fire Test and Evaluation
Unmanned Maritime System,3,Mock-ups/System Integration Labs (SILs)
Unmanned Maritime System,3,Test and Evaluation Support
Unmanned Maritime System,3,Test Facilities
Unmanned Maritime System,2,Training
Unmanned Maritime System,3,Equipment
Unmanned Maritime System,4,Operator Instructional Equipment
Unmanned Maritime System,4,Maintainer Instructional Equipment
Unmanned Maritime System,3,Services
Unmanned Maritime System,4,Operator Instructional Services
Unmanned Maritime System,4,Maintainer Instructional Services
Unmanned Maritime System,3,Facilities
Unmanned Maritime System,3,Training Software 1...n (Specify)
Unmanned Maritime System,2,Data
Unmanned Maritime System,3,Data Deliverables 1...n (Specify)
Unmanned Maritime System,3,Data Depository
Unmanned Maritime System,3,Data Rights 1...n (Specify)
Unmanned Maritime System,2,Peculiar Support Equipment
Unmanned Maritime System,3,Test and Measurement Equipment
Unmanned Maritime System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Unmanned Maritime System,4,Test and Measurement Equipment (Propulsion)
Unmanned Maritime System,4,Test and Measurement Equipment (Electronics/Avionics)
Unmanned Maritime System,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Unmanned Maritime System,3,Support and Handling Equipment
Unmanned Maritime System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Unmanned Maritime System,4,Support and Handling Equipment (Propulsion)
Unmanned Maritime System,4,Support and Handling Equipment (Electronics/Avionics)
Unmanned Maritime System,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Unmanned Maritime System,2,Common Support Equipment
Unmanned Maritime System,3,Test and Measurement Equipment
Unmanned Maritime System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Unmanned Maritime System,4,Test and Measurement Equipment (Propulsion)
Unmanned Maritime System,4,Test and Measurement Equipment (Electronics/Avionics)
Unmanned Maritime System,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Unmanned Maritime System,3,Support and Handling Equipment
Unmanned Maritime System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Unmanned Maritime System,4,Support and Handling Equipment (Propulsion)
Unmanned Maritime System,4,Support and Handling Equipment (Electronics/Avionics)
Unmanned Maritime System,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Unmanned Maritime System,2,Operational/Site Activation by Site 1...n (Specify)
Unmanned Maritime System,3,System Assembly
Unmanned Maritime System,3,Contractor Technical Support
Unmanned Maritime System,3,Site Construction
Unmanned Maritime System,3,Site/Ship/Vehicle Conversion
Unmanned Maritime System,3,Interim Contractor Support (ICS)
Unmanned Maritime System,2,Contractor Logistics Support (CLS)
Unmanned Maritime System,2,Industrial Facilities
Unmanned Maritime System,3,Construction/Conversion/Expansion
Unmanned Maritime System,3,Equipment Acquisition or Modernization
Unmanned Maritime System,3,Maintenance (Industrial Facilities)
Unmanned Maritime System,2,Initial Spares and Repair Parts
Launch Vehicle,1,WBS for MIL-STD-811f Appendix I: Launch Vehicle System
Launch Vehicle,2,Systems Engineering
Launch Vehicle,3,Systems Engineering (SE)
Launch Vehicle,3,Assembly
Launch Vehicle,3,Program Management (PM)
Launch Vehicle,2,Launch Vehicle
Launch Vehicle,3,SEIT/PM
Launch Vehicle,3,Stages 1...n (Specify)
Launch Vehicle,4,SEIT/PM
Launch Vehicle,4,Structures and Mechanisms
Launch Vehicle,4,Propulsions System
Launch Vehicle,4,Reaction Control System
Launch Vehicle,4,Recovery System
Launch Vehicle,4,Environmental Control System
Launch Vehicle,4,Stage Peculiar Avionics
Launch Vehicle,4,Other Systems 1...n (Specify)
Launch Vehicle,3,Payload Accommodations 1...n (Specify)
Launch Vehicle,4,SEIT/PM
Launch Vehicle,4,Payload Fairings
Launch Vehicle,4,Payload Adapter (Pedestals)
Launch Vehicle,4,Mission Unique Hardware (Launch Vehicle) 1...n (Specify)
Launch Vehicle,3,Avionics
Launch Vehicle,4,SEIT/PM
Launch Vehicle,4,Guidance
Launch Vehicle,4,Power
Launch Vehicle,4,Data Acquisition and Telemetry
Launch Vehicle,4,Range Tracking and Safety (Airborne)
Launch Vehicle,4,Flight Software Release 1...n (Specify)
Launch Vehicle,4,Other Avionics 1...n (Specify)
Launch Vehicle,2,Mission Integration and Analysis 1...f (Specify)
Launch Vehicle,3,Mission Standard Integration and Analysis
Launch Vehicle,3,Mission Unique Integration and Analysis 1...n (Specify)
Launch Vehicle,2,Launch Operations Site 1...n (Specify)
Launch Vehicle,3,SEIT/PM
Launch Vehicle,3,Vehicle Processing and Checkout
Launch Vehicle,3,Mission Services
Launch Vehicle,4,Mission Unique Hardware (Launch Operations) 1...n (Specify)
Launch Vehicle,4,Space Vehicle Processing
Launch Vehicle,3,Launch
Launch Vehicle,3,Flight Operations
Launch Vehicle,3,Post Launch
Launch Vehicle,4,Recovery Operations and Services
Launch Vehicle,4,Post Launch Refurbishment
Launch Vehicle,3,Site Maintenance
Launch Vehicle,3,Base Support
Launch Vehicle,3,Range Tracking and Safety (Ground)
Launch Vehicle,4,Range Ground System
Launch Vehicle,4,Range Operations
Launch Vehicle,2,Launch Site 1...n (Specify)
Launch Vehicle,3,SEIT/PM
Launch Vehicle,3,Operational/Site Activation
Launch Vehicle,3,Peculiar Support Equipment
Launch Vehicle,3,Ground Command
Launch Vehicle,4,SEIT/PM
Launch Vehicle,4,Command
Launch Vehicle,4,Other Ground Command
Launch Vehicle,2,System Test and Evaluation
Launch Vehicle,3,Developmental Test and Evaluation
Launch Vehicle,4,Cybersecurity Test and Evaluation
Launch Vehicle,4,Other DT&E Tests 1…n (Specify)
Launch Vehicle,3,Operational Test and Evaluation
Launch Vehicle,4,Cybersecurity Test and Evaluation
Launch Vehicle,4,Other OT&E Tests 1…n (Specify)
Launch Vehicle,3,Live Fire Test and Evaluation
Launch Vehicle,3,Mock-ups/System Integration Labs (SILs)
Launch Vehicle,3,Test and Evaluation Support
Launch Vehicle,3,Test Facilities
Launch Vehicle,2,Training
Launch Vehicle,3,Equipment
Launch Vehicle,4,Operator Instructional Equipment
Launch Vehicle,4,Maintainer Instructional Equipment
Launch Vehicle,3,Services
Launch Vehicle,4,Operator Instructional Services
Launch Vehicle,4,Maintainer Instructional Services
Launch Vehicle,3,Facilities
Launch Vehicle,3,Training Software 1...n (Specify)
Launch Vehicle,2,Data
Launch Vehicle,3,Data Deliverables 1...n (Specify)
Launch Vehicle,3,Data Repository
Launch Vehicle,3,Data Rights 1...n (Specify)
Launch Vehicle,2,Peculiar Support Equipment
Launch Vehicle,3,Test and Measurement Equipment
Launch Vehicle,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Launch Vehicle,4,Test and Measurement Equipment (Propulsion)
Launch Vehicle,4,Test and Measurement Equipment (Electronics/Avionics)
Launch Vehicle,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Launch Vehicle,3,Support and Handling Equipment
Launch Vehicle,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Launch Vehicle,4,Support and Handling Equipment (Propulsion)
Launch Vehicle,4,Support and Handling Equipment (Electronics/Avionics)
Launch Vehicle,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Launch Vehicle,2,Common Support Equipment
Launch Vehicle,3,Test and Measurement Equipment
Launch Vehicle,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Launch Vehicle,4,Test and Measurement Equipment (Propulsion)
Launch Vehicle,4,Test and Measurement Equipment (Electronics/Avionics)
Launch Vehicle,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Launch Vehicle,3,Support and Handling Equipment
Launch Vehicle,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Launch Vehicle,4,Support and Handling Equipment (Propulsion)
Launch Vehicle,4,Support and Handling Equipment (Electronics/Avionics)
Launch Vehicle,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Launch Vehicle,2,Industrial Facilities
Launch Vehicle,3,Construction/Conversion/Expansion
Launch Vehicle,3,Equipment Acquisition or Modernization
Launch Vehicle,3,Maintenance (Industrial Facilities)
Launch Vehicle,2,Initial Spares and Repair Parts
Information/Business System,1,WBS for MIL-STD-811f Appendix J: Information Systems (IS)/Defense Business Systems (DBS) (Investment)
Information/Business System,2,IS/DBS Development/Customization/Configuration
Information/Business System,3,Custom Application 1...n (Specify)
Information/Business System,4,Subsystem Hardware (Specify)
Information/Business System,4,Subsystem Software CSCI 1...n (Specify)
Information/Business System,4,Subsystem Software Level Integration
Information/Business System,3,Enterprise Service Element 1...n (Specify)
Information/Business System,4,Enterprise Service Element Hardware (Specify)
Information/Business System,4,Enterprise Service Element Software CSCI 1...n (Specify)
Information/Business System,4,Enterprise Service Element Integration
Information/Business System,3,Enterprise/Management Information System 1...n (Specify)
Information/Business System,4,Business Area Hardware (Specify)
Information/Business System,4,Business Area Software CSCI 1...n (Specify)
Information/Business System,4,Business Area Integration
Information/Business System,3,External System Interface Development 1...n (Specify)
Information/Business System,4,External System Interface Hardware (Specify)
Information/Business System,4,External System Interface Software CSCI 1...n (Specify)
Information/Business System,4,External System Interface Integration
Information/Business System,3,System Level Infrastructure (Specify)
Information/Business System,4,System Level Hardware (Specify)
Information/Business System,4,Service Infrastructure 1...n (Specify)
Information/Business System,2,System Level Integration
Information/Business System,2,Systems Engineering
Information/Business System,3,Software Systems Engineering
Information/Business System,3,Integrated Logistics Support (ILS) Systems Engineering
Information/Business System,3,Cybersecurity Systems Engineering
Information/Business System,3,Core Systems Engineering
Information/Business System,3,Other Systems Engineering 1...n (Specify)
Information/Business System,2,Program Management
Information/Business System,3,Software Program Management
Information/Business System,3,Integrated Logistics Support (ILS) Program Management
Information/Business System,3,Cybersecurity Program Management
Information/Business System,3,Core Program Management
Information/Business System,3,Other Program Management 1...n (Specify)
Information/Business System,2,Change Management
Information/Business System,2,Data Management
Information/Business System,2,System Test and Evaluation
Information/Business System,3,Developmental Test and Evaluation
Information/Business System,4,Cybersecurity Test and Evaluation
Information/Business System,4,Other DT&E Tests 1…n (Specify)
Information/Business System,3,Operational Test and Evaluation
Information/Business System,4,Cybersecurity Test and Evaluation
Information/Business System,4,Other OT&E Tests 1…n (Specify)
Information/Business System,3,Mock-ups/System Integration Labs (SILs
Information/Business System,3,Test and Evaluation Management/Support
Information/Business System,3,Test Facilities
Information/Business System,2,Training
Information/Business System,3,Equipment
Information/Business System,3,Services
Information/Business System,3,Facilities
Information/Business System,3,Training Software 1...n (Specify)
Information/Business System,2,Data
Information/Business System,3,Data Deliverables 1...n (Specify)
Information/Business System,3,Data Repository
Information/Business System,3,Data Rights 1...n (Specify)
Information/Business System,2,Peculiar Support Equipment
Information/Business System,3,Test and Measurement Equipment
Information/Business System,3,Support and Handling Equipment
Information/Business System,2,Common Support Equipment
Information/Business System,3,Test and Measurement Equipment
Information/Business System,3,Support and Handling Equipment
Information/Business System,2,Operational Infrastructure/Site Activation by Site 1...n (Specify)
Information/Business System,3,Initial Hardware Procurement
Information/Business System,4,End User Equipment
Information/Business System,4,Cybersecurity Equipment
Information/Business System,4,IT Infrastructure and Enterprise Software Equipment
Information/Business System,4,Other 1...n (Specify)
Information/Business System,3,Initial Software License Procurement
Information/Business System,4,End User Software License
Information/Business System,4,Cybersecurity Software Licenses/Services
Information/Business System,4,IT Infrastructure and Equipment
Information/Business System,4,Other 1...n (Specify)
Information/Business System,3,Initial Software Release (Pre-IOC) Modification/Enhancement
Information/Business System,4,Routine Fixes/Deficiency Correction
Information/Business System,4,Deployment Independent Verification and Validation
Information/Business System,4,Installation/Test
Information/Business System,3,Site Activation
Information/Business System,4,Data Migration
Information/Business System,4,User Training
Information/Business System,4,User Documentation
Information/Business System,4,Management/Engineering Support
Information/Business System,4,Site Installation
Information/Business System,3,Interim Operations and Support (Pre-IOC)
Information/Business System,4,Help Desk
Information/Business System,4,System Database Administrator
Information/Business System,4,Installation
Information/Business System,4,IT Equipment Maintenance
Information/Business System,2,Industrial Facilities
Information/Business System,3,Construction/Conversion/Expansion
Information/Business System,3,Equipment Acquisition or Modernization
Information/Business System,3,Maintenance (Industrial Facilities)
Information/Business System,2,Initial Spares and Repair Parts
Sustainment,1,WBS for MIL-STD-811f Appendix L: Sustainment
Sustainment,2,Unit-Level Manpower 
Sustainment,3,Operations 
Sustainment,3,Unit-Level Maintenance 
Sustainment,3,Other Unit-Level (1…n Specify)
Sustainment,2,Unit Operations
Sustainment,3,Energy (Fuel
Sustainment,3,Training Munitions and Expendable Stores
Sustainment,3,Support Services
Sustainment,3,Temporary Duty (TDY) Travel
Sustainment,3,Second Destination Transportation
Sustainment,2,Maintenance
Sustainment,3,Consumables
Sustainment,3,Depot Level Reparables (DLRs) 
Sustainment,3,Intermediate Maintenance (External to Unit-Level)
Sustainment,3,Depot Maintenance
Sustainment,4,Scheduled Depot Maintenance
Sustainment,4,Unscheduled Depot Maintenance
Sustainment,2,Sustaining Support
Sustainment,3,System-Specific Training
Sustainment,4,System-Specific Operator Training
Sustainment,4,System-Specific Maintenance Training
Sustainment,3,Support Equipment Replacement and Repair
Sustainment,3,Sustaining/Systems Engineering
Sustainment,3,Program Management
Sustainment,3,Data and Technical Publications
Sustainment,3,Simulator Operations and Repair
Sustainment,4,Simulator/Training Device Operations
Sustainment,4,Simulator/Training Device Hardware Repair and Replace
Sustainment,4,Simulator/Training Device Software Support
Sustainment,3,Other Sustaining Support 1…n (Specify)
Sustainment,2,Continuing System Improvements
Sustainment,3,Hardware Modifications
Sustainment,4,Mod Kit Development
Sustainment,4,Mod Kit Procurement
Sustainment,4,Mod Kit Initial Spares
Sustainment,4,Mod Kit Installation
Sustainment,3,Software Maintenance
Sustainment,4,Software Changes
Sustainment,4,Software Program Management
Sustainment,4,Software Sustaining Engineering
Sustainment,4,System Facilities
Sustainment,4,Field Service Engineers
Sustainment,4,Certification and Accreditation
Sustainment,4,Help Desk
Sustainment,4,Hosting
Sustainment,4,Software Licenses
Research Project,1,WBS for NIH Research Project
Research Project,2,Project initiation
Research Project,3,Literature review
Research Project,3,IRB protocol development
Research Project,3,Study design
Research Project,3,Recruitment strategy
Research Project,2,Data collection
Research Project,3,Participant recruitment
Research Project,3,Informed consent process
Research Project,3,Data collection procedures
Research Project,3,Quality control checks
Research Project,2,Data analysis
Research Project,3,Data cleaning
Research Project,3,Statistical analysis
Research Project,3,Interpretation of results
Research Project,2,Dissemination
Research Project,3,Manuscript preparation
Research Project,3,Conference presentations
Research Project,3,Grant reporting
Production Platform,1,WBS for Production Platform Project 
Production Platform,2,Project Management
Production Platform,2,Engineering
Production Platform,3,General
Production Platform,4,Preliminary Engineering Acceptance
Production Platform,4,Preliminary Engineering Acceptance
Production Platform,4,Design Basis and Specifications
Production Platform,4,Calculations and Engineering Data Books
Production Platform,4,Summary Reports
Production Platform,4,Platform Equipment Manuals
Production Platform,3,Jacket
Production Platform,4,Structural Engineering and Drafting
Production Platform,5,Jacket In-Service Analyses
Production Platform,5,Jacket Pre-Service Analyses
Production Platform,5,Jacket Design Details
Production Platform,5,Jacket Cathodic Protection
Production Platform,5,Jacket Weights and Material Takeoffs
Production Platform,5,Jacket Approved for Construction (AFC) Drawings
Production Platform,5,Jacket Detailed Engineering and Design Report
Production Platform,4,Mechanical Engineering & Drafting
Production Platform,5,Flood and Vent System
Production Platform,5,Grouting System
Production Platform,3,Piling – Structural Engineering and Drafting
Production Platform,4,Piling In-Service Analyses
Production Platform,4,Piling Pre-Service Analyses
Production Platform,4,Piling Design Details
Production Platform,4,Piling Weights and Material Takeoffs
Production Platform,4,Piling AFC Drawings
Production Platform,4,Piling Detailed Engineering and Design Report
Production Platform,3,Topsides
Production Platform,4,Structural Engineering and Drafting
Production Platform,5,Deck In-Service Analyses
Production Platform,5,Deck Pre-Service Analyses
Production Platform,5,Deck Design Details
Production Platform,5,Deck Weights and Material Takeoffs
Production Platform,5,Deck AFC Drawings
Production Platform,5,Deck Detailed Engineering and Design Report
Production Platform,4,Mechanical/Process Engineering and Drafting
Production Platform,5,Process Simulation/Calculations
Production Platform,5,Equipment Design/Sizing
Production Platform,5,Pipe Stress Analysis
Production Platform,5,Hazard Analysis
Production Platform,5,Specifications
Production Platform,5,Vendor Data Reviews
Production Platform,5,Weight
Production Platform,5,AFC Drawings for:
Production Platform,6,Process Flow Diagrams/Utility Flow Diagrams
Production Platform,6, Mechanical Flow Diagrams/Piping and Instrument Drawings
Production Platform,6,Equipment Layouts/Arrangements/Skid Layouts
Production Platform,6,Piping Supports
Production Platform,6,Piping General Arrangements
Production Platform,6, Other AFC Drawings
Production Platform,5,Data Books
Production Platform,4,Electrical Engineering & Drafting
Production Platform,5,Electrical Engineering and Design
Production Platform,5,Electrical Specifications
Production Platform,5,Electrical Load Study/List
Production Platform,5,Vendor Data Reviews
Production Platform,5,Weight
Production Platform,5,AFC Drawings for:
Production Platform,6, Area Classifications
Production Platform,6, Electrical Symbol Legend
Production Platform,6, Electrical One-Line Drawings
Production Platform,6, Schematics/Schedule/Plans
Production Platform,6, Buildings and Equipment Layouts
Production Platform,6, Electrical Arrangement and Cable Tray Routing
Production Platform,6, Electrical Installation Details
Production Platform,6, Other AFC Drawings
Production Platform,5,Data Books
Production Platform,4,Instrument Engineering & Drafting
Production Platform,5,Instrument Engineering & Design
Production Platform,5,Fire & Safety Engineering & Design
Production Platform,5,Relief Systems Sizing Calculations
Production Platform,5,Instrument Specification
Production Platform,5,Instrument Index
Production Platform,5,Vendor Data Reviews
Production Platform,4,Weight
Production Platform,4,AFC Drawings for:
Production Platform,5,SAFE Charts/PSFDs
Production Platform,5,Control Panels
Production Platform,5,PLC System
Production Platform,5,Tubing Tray Routing
Production Platform,5,Loop Diagrams
Production Platform,5,Instrument Installation Details
Production Platform,5,Fire and Safety
Production Platform,5,Pressure Relief Systems
Production Platform,5,Other AFC Drawings
Production Platform,4,Data Books
Production Platform,2,Procurement
Production Platform,3,General
Production Platform,4,Procurement Procedures
Production Platform,4,Expediting and Inspection Procedures
Production Platform,3,Jacket
Production Platform,4,Owner Furnished Equipment (OFE)
Production Platform,4,Contractor Furnished Reimbursable Equipment (CFRE)
Production Platform,4,All Other Contractor Supplied Equipment
Production Platform,4,Bulk Materials—Contractor Supplied
Production Platform,5,Structural
Production Platform,5,Anodes
Production Platform,3,Piling
Production Platform,4,Bulk Materials—Contractor Supplied
Production Platform,5,Structural
Production Platform,3,Topsides
Production Platform,4,Owner Furnished Equipment (OFE)
Production Platform,5,Rotating Equipment
Production Platform,5,Pressure Vessels
Production Platform,5,Electrical Generation
Production Platform,4,Contractor Furnished Reimbursable Equipment (CFRE)
Production Platform,5,Rotating Equipment
Production Platform,5,Pressure Vessels
Production Platform,5,Other CFRE
Production Platform,4,All Other Contractor Supplied Equipment
Production Platform,4,Bulk Materials—Contractor Supplied
Production Platform,5,Structural
Production Platform,5,Piping
Production Platform,5,Electrical
Production Platform,5,Instrument
Production Platform,2,Fabrication
Production Platform,3,General
Production Platform,4,Safety Manual and Plan
Production Platform,4,Yard and Work-Force Mobilization
Production Platform,4,Qualification of Welding Procedures and Welders
Production Platform,5,Structural
Production Platform,5,Piping
Production Platform,4,Shop Drawings
Production Platform,5,Structural
Production Platform,5,Piping Isometrics
Production Platform,5,Piping Spools
Production Platform,4,Receipt of Materials
Production Platform,4,QA/QC
Production Platform,4,Weight Control Reports
Production Platform,4,As-Built Drawings and Certification Dossier
Production Platform,3,Jacket
Production Platform,4,Frames
Production Platform,5,Frame 1
Production Platform,5,Frame 2
Production Platform,5,Frame A
Production Platform,5,Frame B
Production Platform,4,Horizontal Levels
Production Platform,5,Level 1
Production Platform,5,Level 2
Production Platform,5,Level 3
Production Platform,5,Level 4
Production Platform,4,Appurtenances
Production Platform,5,Disposal Pile
Production Platform,5,Caissons
Production Platform,5,Risers
Production Platform,5,Boat Landing
Production Platform,5,Corrosion Protection
Production Platform,5,Stairs
Production Platform,4,Installation Aids
Production Platform,4,Loadout and Seafasten
Production Platform,3,Piling
Production Platform,4,Pile A1
Production Platform,4,Pile A2
Production Platform,4,Pile B1
Production Platform,4,Pile B2
Production Platform,4,Loadout and Seafasten
Production Platform,3,Topsides
Production Platform,4,Main Deck
Production Platform,5,Plate Girders
Production Platform,5,Deck Panels
Production Platform,5,Tertiary Steel
Production Platform,4,Cellar Deck
Production Platform,5,Plate Girders
Production Platform,5,Deck Panels
Production Platform,5,Tertiary Steel
Production Platform,4,Sub-Cellar Deck
Production Platform,4,Legs
Production Platform,4,Bracing
Production Platform,4,Equipment Installation
Production Platform,4,Interconnect Piping
Production Platform,4,Electrical
Production Platform,4,Instrumentation
Production Platform,4,Precommissioning
Production Platform,4,Appurtenances
Production Platform,5,Flare Boom
Production Platform,5,Stairs
Production Platform,5,Installation Aids
Production Platform,4,Loadout and Seafasten
Production Platform,2,Transportation
Production Platform,3,General
Production Platform,4,Safety Manual and Plan
Production Platform,4,Seafastening Drawings
Production Platform,4,Marine Warranty Surveyor Review and Approval
Production Platform,3,Jacket
Production Platform,3,Piling
Production Platform,3,Topsides
Production Platform,2,Installation
Production Platform,3,General
Production Platform,4,Safety Manual and Plan
Production Platform,4,Installation Procedures and Drawings
Production Platform,4,Qualification of Welding Procedures and Welders
Production Platform,5,Structural
Production Platform,5,Piping
Production Platform,4,As-Installed Drawings
Production Platform,4,Mobilization
Production Platform,4,Demobilization
Production Platform,3,Jacket
Production Platform,3,Piling
Production Platform,3,Topsides
Production Platform,4,Hookup
Production Platform,4,Commissioning
Production Platform,4,Startup
New Compound,1,WBS for New Compound Development Project
New Compound,2,Project Initiation
New Compound,3,Decision to Develop Business Case
New Compound,3,Business Case
New Compound,3,Project Initiation Decision
New Compound,2,Marketing/Sales Support
New Compound,3,Market Research Program
New Compound,3,Branding Program
New Compound,3,Pricing Program
New Compound,3,Sales Development Program
New Compound,3,Other Marketing/Sales Support
New Compound,2,Regulatory Support
New Compound,3,IND Submission
New Compound,4,Pre-IND Meeting
New Compound,4,IND Preparation
New Compound,5,Preclinical Package
New Compound,5,Clinical Package
New Compound,5,Clinical Pharmacology Package
New Compound,5,CM&C Package
New Compound,4,IND Submission
New Compound,3,End of Phase 2 Meeting
New Compound,4,Pre-Meeting Package
New Compound,4,End of Phase 2 Meeting
New Compound,3,BLA/NDA Submission
New Compound,4,Pre-BLA/NDA Meeting
New Compound,4,BLA/NDA Preparation
New Compound,5,Preclinical Package
New Compound,5,Clinical Package
New Compound,5,Clinical Pharmacology Package
New Compound,5,CM&C Package
New Compound,4,BLA/NDA Submission
New Compound,4,Advisory Committee Meeting
New Compound,4,FDA review support
New Compound,4,Pre-Approval Inspection
New Compound,4,Approval
New Compound,3,Post-approval Regulatory Support Program
New Compound,4,Annual Reports
New Compound,4,Adverse Event Reporting
New Compound,4,Post-market Commitment Administration
New Compound,2,Lead Identification Program
New Compound,3,Hypothesis Generation
New Compound,3,Assay Screening
New Compound,3,Lead Optimization
New Compound,3,Other Discovery Support
New Compound,2,Clinical Pharmacology Support
New Compound,3,Pharmacokinetic Study(ies)
New Compound,3,Drug Interaction Study(ies)
New Compound,3,Renal Effect Study(ies)
New Compound,3,Hepatic Effect Study(ies)
New Compound,3,Bioequivalency Study(ies)
New Compound,3,Other Clinical Pharmacology Study(ies)
New Compound,2,Preclinical Program
New Compound,3,Tox/ADME Support
New Compound,4,Non-GLP Animal Studies
New Compound,4,Bioanalytical Assay Development
New Compound,4,ADME Evaluations
New Compound,4,Acute Toxicological Studies
New Compound,4,Sub-Chronic Toxicological Studies
New Compound,4,Chronic Toxicological Studies
New Compound,4,Other Tox/ADME Support
New Compound,3,Clinical Pharmacology Support
New Compound,4,Pharmacokinetic Study(ies)
New Compound,4,Drug Interaction Study(ies)
New Compound,4,Renal Effect Study(ies)
New Compound,4,Hepatic Effect Study(ies)
New Compound,4,Bioequivalency Study(ies)
New Compound,4,Other Clinical Pharmacology Study(ies)
New Compound,2,Phase I Clinical Study Program
New Compound,3,Pharmacokinetic/Pharmacodynamic Study(ies)
New Compound,3,Dose Ranging Study(ies)
New Compound,3,Multiple Dose Safety Study(ies)
New Compound,4,Pre-Enrollment Activities
New Compound,4,Enrollment
